ID comanda: 1|NR factura: 1450352075
ID comanda: 2|NR factura: 2092965642
ID comanda: 3|NR factura: 1080112016
ID comanda: 4|NR factura: 1164123740
ID comanda: 6|NR factura: 546692628
ID comanda: 8|NR factura: 373646704
ID comanda: 10|NR factura: 33185456
ID comanda: 11|NR factura: 821375894
ID comanda: 12|NR factura: 927166395
ID comanda: 14|NR factura: 302775238
ID comanda: 15|NR factura: 1400519730
ID comanda: 18|NR factura: 1782504044
ID comanda: 19|NR factura: 254392496
ID comanda: 20|NR factura: 232618703
ID comanda: 21|NR factura: 1654561390
ID comanda: 24|NR factura: 1897119800
ID comanda: 28|NR factura: 1894774705
ID comanda: 29|NR factura: 2013458537
